name,pts,terrain,intervisibility,area1,population,area2
Buritaca 200 (Ciudad Perdida),96,68775,4075,26,1710,813474.290036826
Koskunguena,64,48252,2315,23,1518,535797.90542297
Pirámide (Julepia),32,27104,1317,20.2,1330,283076.000108829
Nulicuandecue,46,14230,0,13,855,377139.979217631
Alto de Mira,20,37944,1354,9.7,640,167984.58223963
Tankua,54,27977,573,8,522,453803.242024989
Casa Troja,10,10062,250,4.2,275,85311.1727611972
Frontera,8,1775,119,3.6,237,78581.2253927247
Jacinto,12,5429,187,3.6,237,92919.2652094381
Vallecito,26,33344,1763,3.6,237,211321.998885673
Pueblo Indio,13,9797,628,3.6,237,117183.404373367
Lozano,7,6017,223,2.7,178,67945.9876360263
Piedra Redonda,8,4097,163,2.16,145,72407.9821339847
Purgatorio,9,1385,92,2.16,145,85063.4383284393
Zancudo,14,26814,1678,2.16,145,108688.104383041
Tigres,15,5674,37,1.62,107,120644.429714406
Fronterita,3,2694,41,1.44,95,23670.9030443389
Piscina,7,21566,980,1.08,72,56197.7974501262
Helipuerto II,9,3904,621,1.08,72,90832.9030348769
Páramo,12,26168,1559,1.08,72,97230.2120835128
La Isla,13,2374,256,0.7,46,113689.161492146
La Estrella,4,2534,210,0.54,35,29660.5906908624
Morro enfrente,8,3581,559,0.36,25,74977.1359275963
Finca Jacinto,2,1232,86,0,0,23433.7607357572
Seis Planadas,7,11506,783,0,0,60723.7104014422
Valle Perdido,3,762,6,0,0,24563.3201379725
Hormiguero,8,4336,98,0,0,65049.5680808342
Gorgona,13,1925,0,0,0,111966.846332812
